"Subject","Course","Course_Title","As","Bs","Cs","Ds","Fs","GPA","N"
"MSE",4614,"Nanomaterials",6,13,0,0,0,3.38,19
"MSE",5024,"Math Methods Materials Resrch",15,8,0,0,0,3.63,23
"MSE",5054,"Adv Materials Thermo",9,5,0,0,0,3.56,14
"MSE",5114,"Materials Characterization",8,5,0,0,0,3.55,13
"MSE",5134,"Introduction to TEM",8,4,0,0,0,3.62,12
"MSE",5584,"Biomimetic Material Design",9,2,1,0,0,3.74,12
"MTRG",4994,"Undergraduate Research",10,2,0,0,0,3.88,12
"MUS",1004,"Perf Arts First Year Exper",18,8,0,0,0,3.67,26
"MUS",1005,"Theory/Fundamentals",64,20,4,1,0,3.605,89
"MUS",1006,"Theory/Fundamentals",10,4,0,0,1,3.43,15
"MUS",1104,"Music Appreciation",334,75,70,7,0,3.6,486
"MUS",2025,"Theory/Harmony",13,19,11,0,1,2.925,44
"MUS",2045,"Sightsinging Laboratory",37,4,1,0,1,3.78,43
"MUS",2055,"Audio Technology For Music",4,8,4,0,0,3.08,16
"MUS",2065,"Music Composition",7,3,1,0,0,3.6,11
"MUS",2115,"Survey of Music",73,17,2,0,1,3.7,93
"MUS",2214,"Class Applied Piano",17,7,1,0,0,3.585,25
"MUS",2224,"Class Applied Voice",8,3,1,0,0,3.56,12
"MUS",2274,"Music Education Lab Ensemble",16,7,0,0,0,3.7,23
"MUS",2514,"Individual Applied Voice",6,4,0,0,0,3.58,10
"MUS",2644,"Individual Applied Trumpet",6,3,1,0,0,3.45,10
"MUS",2684,"Individual Applied Percussion",11,0,0,0,0,3.97,11
"MUS",2815,"Jazz Improvisation",12,0,0,0,0,4,12
"MUS",3044,"Orchestration & Analysis",4,7,2,0,0,3.06,13
"MUS",3055,"Music and Media Production",5,8,0,0,1,3.14,14
"MUS",3064,"Digital Sound Manipulation",23,1,1,0,0,3.87,25
"MUS",3065,"Computer Music & Multimedia",19,0,0,0,0,3.97,19
"MUS",3114,"Symphonic Literature",16,2,0,0,0,3.84,18
